date,close,open,maximo,minimo,variacion,anterior,predictions
2000-03-01,503.45,502.0,504.55,501.8,0.0019,502.5,501.06256952000257
2000-03-02,502.85,503.3,503.55,501.6,-0.0012,503.45,501.96113967851164
2000-03-03,503.0,503.05,504.4,502.65,0.0003,502.85,502.4236922454905
2000-03-06,504.05,502.3,504.15,502.1,0.0021,503.0,501.68947667302785
2000-03-07,506.55,504.5,507.45,504.2,0.005,504.05,502.886580227942
2000-03-08,508.35,507.3,508.5,506.0,0.0036,506.55,506.0473691060652
2000-03-09,506.25,506.3,507.15,504.35,-0.0040999999999999995,508.35,508.4439384983733
2000-03-10,506.25,506.8,508.35,506.0,0.0,506.25,505.64558632203347
2000-03-13,507.15,507.2,508.95,506.4,0.0018,506.25,504.9420308575782
2000-03-14,506.25,505.9,506.55,504.85,-0.0018,507.15,507.7123770007963
2000-03-15,506.95,507.3,507.9,505.2,0.0014000000000000002,506.25,506.1419999562219
2000-03-16,507.05,505.65,507.75,504.8,0.0002,506.95,506.28342639849507
2000-03-17,506.25,505.6,507.25,505.1,-0.0016,507.05,506.908845752297
2000-03-20,506.3,506.2,506.6,505.65,0.0001,506.25,505.2874397671431
2000-03-21,504.95,506.0,506.15,504.0,-0.0027,506.3,506.3516930971027
2000-03-22,503.95,503.25,504.35,503.1,-0.002,504.95,504.78787566465104
2000-03-23,502.65,502.7,503.15,502.2,-0.0026,503.95,503.26049475723
2000-03-24,502.35,501.5,502.95,501.0,-0.0006,502.65,502.1350216639684
2000-03-27,502.55,501.8,503.05,501.8,0.0004,502.35,501.8772636128117
2000-03-28,501.95,502.4,502.8,501.4,-0.0012,502.55,502.33650238920404
2000-03-29,501.15,500.4,501.5,500.4,-0.0016,501.95,501.8750212938735
2000-03-30,501.3,500.7,501.75,500.1,0.0003,501.15,500.10423731187456
2000-03-31,503.25,502.0,503.3,501.45,0.0039000000000000003,501.3,501.40585368180666
2000-04-03,503.25,503.3,504.25,502.9,0.0,503.25,503.1899043343248
2000-04-04,504.05,502.8,504.15,502.2,0.0016,503.25,502.8649029378023
2000-04-05,505.75,505.1,505.9,504.25,0.0034000000000000002,504.05,504.2385468868361
