date;close;open;maximo;minimo;variacion;anterior;predictions
01-03-00;503.45;502.0;504.55;501.8;0.0019;502.5;50.106.256.952.000.200
02-03-00;502.85;503.3;503.55;501.6;-0.0012;503.45;50.196.113.967.851.100
03-03-00;503.0;503.05;504.4;502.65;0.0003;502.85;5.024.236.922.454.900
06-03-00;504.05;502.3;504.15;502.1;0.0021;503.0;50.168.947.667.302.700
07-03-00;506.55;504.5;507.45;504.2;0.005;504.05;502.886.580.227.942
08-03-00;508.35;507.3;508.5;506.0;0.0036;506.55;5.060.473.691.060.650
09-03-00;506.25;506.3;507.15;504.35;-0.0040999999999999995;508.35;5.084.439.384.983.730
10-03-00;506.25;506.8;508.35;506.0;0.0;506.25;50.564.558.632.203.300
13-03-00;507.15;507.2;508.95;506.4;0.0018;506.25;5.049.420.308.575.780
14-03-00;506.25;505.9;506.55;504.85;-0.0018;507.15;5.077.123.770.007.960
15-03-00;506.95;507.3;507.9;505.2;0.0014000000000000002;506.25;5.061.419.999.562.210
16-03-00;507.05;505.65;507.75;504.8;0.0002;506.95;50.628.342.639.849.500
17-03-00;506.25;505.6;507.25;505.1;-0.0016;507.05;506.908.845.752.297
20-03-00;506.3;506.2;506.6;505.65;0.0001;506.25;5.052.874.397.671.430
21-03-00;504.95;506.0;506.15;504.0;-0.0027;506.3;5.063.516.930.971.020
22-03-00;503.95;503.25;504.35;503.1;-0.002;504.95;50.478.787.566.465.100
23-03-00;502.65;502.7;503.15;502.2;-0.0026;503.95;50.326.049.475.723
24-03-00;502.35;501.5;502.95;501.0;-0.0006;502.65;5.021.350.216.639.680
27-03-00;502.55;501.8;503.05;501.8;0.0004;502.35;5.018.772.636.128.110
28-03-00;501.95;502.4;502.8;501.4;-0.0012;502.55;50.233.650.238.920.400
29-03-00;501.15;500.4;501.5;500.4;-0.0016;501.95;5.018.750.212.938.730
30-03-00;501.3;500.7;501.75;500.1;0.0003;501.15;50.010.423.731.187.400
31-03-00;503.25;502.0;503.3;501.45;0.0039000000000000003;501.3;50.140.585.368.180.600
03-04-00;503.25;503.3;504.25;502.9;0.0;503.25;5.031.899.043.343.240
04-04-00;504.05;502.8;504.15;502.2;0.0016;503.25;5.028.649.029.378.020
05-04-00;505.75;505.1;505.9;504.25;0.0034000000000000002;504.05;5.042.385.468.868.360
06-04-00;505.15;505.4;506.15;504.7;-0.0012;505.75;5.063.327.921.775.260
07-04-00;505.75;505.1;506.05;504.55;0.0012;505.15;5.053.227.679.580.620
10-04-00;505.05;505.5;505.85;504.7;-0.0014000000000000002;505.75;5.063.782.840.300.660
11-04-00;505.45;505.4;506.05;505.0;0.0008;505.05;50.462.299.170.456.200
12-04-00;505.35;505.1;505.75;504.7;-0.0002;505.45;5.070.180.392.138.730
13-04-00;505.35;505.7;505.9;505.05;0.0;505.35;50.365.721.127.512.300
14-04-00;510.15;506.8;510.55;506.6;0.0095;505.35;50.655.587.625.873.400
17-04-00;514.65;511.75;515.65;511.75;0.0088;510.15;5.105.029.308.225.520
18-04-00;508.95;512.3;513.25;508.7;-0.0111;514.65;5.177.287.129.462.440
19-04-00;509.15;508.2;509.15;506.0;0.0004;508.95;50.697.662.965.233.500
20-04-00;510.25;509.9;511.5;509.4;0.0022;509.15;50.898.563.524.220.600
24-04-00;512.15;512.45;514.55;510.9;0.0037;510.25;5.133.752.603.048.060
25-04-00;512.95;510.5;514.15;510.5;0.0016;512.15;5.143.701.526.382.910
26-04-00;514.35;513.1;515.15;512.9;0.0027;512.95;5.106.083.200.125.190
27-04-00;514.85;516.6;516.85;514.2;0.001;514.35;5.146.561.716.832.780
28-04-00;515.25;514.8;515.85;514.5;0.0008;514.85;5.143.912.775.217.090
02-05-00;513.65;514.85;515.15;513.3;-0.0031;515.25;5.176.913.277.613.260
03-05-00;516.75;515.1;516.95;514.8;0.006;513.65;5.153.615.164.626.150
04-05-00;517.65;517.3;519.0;516.7;0.0017000000000000001;516.75;5.155.944.964.985.320
05-05-00;519.55;519.6;519.8;518.0;0.0037;517.65;5.169.416.365.744.650
08-05-00;522.75;520.4;523.95;520.3;0.0062;519.55;5.181.369.278.293.550
09-05-00;522.55;523.5;524.85;522.2;-0.0004;522.75;5.214.825.855.907.160
10-05-00;526.15;525.9;526.7;525.3;0.0069;522.55;5.229.536.067.146.650
11-05-00;522.75;525.1;525.25;522.2;-0.006500000000000001;526.15;5.247.900.318.861.700
12-05-00;520.85;519.1;521.05;519.0;-0.0036;522.75;5.232.586.340.035.450
15-05-00;517.85;522.25;523.55;516.0;-0.0058;520.85;5.218.872.311.852.240
16-05-00;517.45;516.1;517.75;514.8;-0.0008;517.85;5.206.257.109.464.640
17-05-00;519.95;519.6;520.95;519.0;0.0048;517.45;5.195.212.516.435.700
18-05-00;520.95;520.5;521.5;519.5;0.0019;519.95;5.194.254.161.894.190
19-05-00;523.95;523.0;524.55;520.9;0.0058;520.95;5.221.213.251.559.790
22-05-00;525.45;524.3;525.85;524.3;0.0029;523.95;5.255.366.296.455.820
23-05-00;524.85;524.7;525.45;523.3;-0.0011;525.45;5.265.005.439.789.090
24-05-00;526.35;524.7;526.45;524.7;0.0029;524.85;5.281.245.773.000.030
25-05-00;525.5;524.5;525.85;524.1;-0.0016;526.35;5.242.028.085.897.930
26-05-00;523.95;526.3;526.55;523.0;-0.0029;525.5;525.157.725.077.426
29-05-00;525.85;523.2;526.35;523.2;0.0036;523.95;5.238.785.891.779.000
30-05-00;524.95;525.0;525.25;523.4;-0.0017000000000000001;525.85;5.258.387.718.956.050
31-05-00;524.25;524.4;525.45;523.05;-0.0013;524.95;5.278.003.460.154.430
01-06-00;522.65;523.3;523.9;521.7;-0.0031;524.25;5.233.815.005.351.730
02-06-00;519.45;519.5;520.55;519.1;-0.0060999999999999995;522.65;5.230.018.293.379.820
05-06-00;521.45;519.8;521.45;519.5;0.0039000000000000003;519.45;5.187.024.915.209.030
06-06-00;523.35;522.2;523.65;521.9;0.0036;521.45;5.209.534.627.832.140
07-06-00;525.45;524.05;525.9;523.3;0.004;523.35;5.255.971.779.708.890
08-06-00;527.25;525.25;527.7;524.7;0.0034000000000000002;525.45;5.248.617.176.359.850
09-06-00;528.65;527.1;530.15;527.1;0.0027;527.25;527.339.383.849.182
12-06-00;530.45;529.05;531.55;528.8;0.0034000000000000002;528.65;5.308.746.228.956.880
13-06-00;532.35;530.8;533.9;530.7;0.0036;530.45;5.308.458.207.195.070
14-06-00;530.55;531.4;531.85;529.5;-0.0034000000000000002;532.35;5.350.384.039.742.900
15-06-00;532.05;530.45;532.45;530.1;0.0028000000000000004;530.55;5.295.436.334.831.980
16-06-00;530.85;532.3;533.95;530.6;-0.0023;532.05;5.325.683.954.657.920
20-06-00;531.35;530.7;532.05;530.5;0.0009;530.85;5.318.417.976.770.650
21-06-00;533.25;531.7;534.45;531.35;0.0036;531.35;5.320.060.989.174.960
22-06-00;534.55;532.9;535.1;532.9;0.0024;533.25;5.326.954.588.277.550
23-06-00;536.85;537.4;538.25;536.3;0.0043;534.55;5.358.507.608.856.880
26-06-00;536.85;536.7;536.85;536.7;0.0;536.85;5.368.917.212.242.670
27-06-00;536.05;537.4;538.55;535.05;-0.0015;536.85;5.384.091.640.590.040
28-06-00;537.05;535.1;537.55;534.9;0.0019;536.05;5.366.312.743.319.500
29-06-00;538.55;537.35;539.4;535.3;0.0028000000000000004;537.05;5.352.620.023.633.320
30-06-00;539.75;538.9;540.05;537.25;0.0022;538.55;5.406.185.306.162.890
03-07-00;535.55;538.1;538.25;535.2;-0.0078000000000000005;539.75;5.378.768.113.829.860
04-07-00;534.05;534.8;535.05;531.4;-0.0028000000000000004;535.55;5.341.762.808.300.750
05-07-00;535.55;534.0;535.95;534.0;0.0028000000000000004;534.05;5.355.329.638.999.010
06-07-00;536.85;536.95;538.15;536.5;0.0024;535.55;5.389.906.497.628.030
07-07-00;535.85;535.9;536.7;535.0;-0.0019;536.85;5.384.217.462.372.480
10-07-00;534.45;536.8;537.05;534.25;-0.0026;535.85;5.330.734.684.629.850
11-07-00;536.15;534.3;536.3;533.3;0.0032;534.45;5.334.865.774.904.250
12-07-00;538.05;535.6;538.25;534.6;0.0034999999999999996;536.15;5.380.277.768.893.030
13-07-00;540.6;537.9;541.05;537.5;0.004699999999999999;538.05;5.393.570.755.096.360
14-07-00;543.05;541.8;543.55;541.5;0.0045000000000000005;540.6;5.414.785.727.399.120
17-07-00;541.85;542.7;542.95;541.6;-0.0022;543.05;5.404.642.477.645.040
18-07-00;545.6;541.5;546.2;541.5;0.0069;541.85;542.397.319.456.258
19-07-00;545.95;547.9;548.95;545.7;0.0006;545.6;5.491.604.024.342.670
20-07-00;545.25;546.4;546.95;544.2;-0.0013;545.95;5.466.464.817.657.960
21-07-00;546.05;546.4;546.75;544.5;0.0015;545.25;546.905.405.899.556
24-07-00;549.55;546.5;549.65;546.0;0.0064;546.05;5.442.904.496.590.220
25-07-00;550.15;551.5;551.85;549.6;0.0011;549.55;5.551.760.966.919.780
26-07-00;556.15;551.5;556.45;551.5;0.0109;550.15;5.492.887.772.058.140
27-07-00;553.35;556.4;556.65;552.7;-0.005;556.15;5.559.706.684.329.840
28-07-00;557.65;554.6;557.9;554.2;0.0078000000000000005;553.35;5.559.355.223.610.860
31-07-00;555.55;557.9;558.45;555.2;-0.0038;557.65;5.571.505.088.673.680
01-08-00;553.15;554.7;555.25;552.2;-0.0043;555.55;558.383.708.160.929
02-08-00;549.25;553.4;553.55;548.85;-0.0070999999999999995;553.15;5.557.612.211.969.850
03-08-00;552.35;552.1;553.55;549.6;0.005600000000000001;549.25;5.506.891.165.482.890
04-08-00;555.05;554.2;556.15;553.3;0.0049;552.35;5.525.858.405.392.790
07-08-00;555.25;554.9;556.7;554.6;0.0004;555.05;5.549.769.232.625.700
08-08-00;552.85;555.1;555.25;552.1;-0.0043;555.25;5.538.877.907.194.480
09-08-00;553.05;552.7;553.55;551.1;0.0004;552.85;5.543.821.159.451.350
10-08-00;551.35;553.0;553.55;550.7;-0.0031;553.05;5.530.011.874.359.140
11-08-00;547.65;551.2;551.85;547.0;-0.0067;551.35;5.545.318.491.623.810
14-08-00;544.25;547.5;548.15;541.6;-0.0062;547.65;5.473.089.004.806.240
16-08-00;545.95;544.1;545.95;543.2;0.0031;544.25;5.433.579.999.193.080
17-08-00;546.15;545.9;546.95;544.85;0.0004;545.95;5.458.040.860.722.630
18-08-00;549.45;546.0;549.75;546.0;0.006;546.15;5.454.106.075.561.010
21-08-00;547.85;549.4;552.35;547.3;-0.0029;549.45;5.519.628.749.439.400
22-08-00;546.15;547.7;549.95;545.0;-0.0031;547.85;548.304.729.998.744
23-08-00;545.95;546.0;546.95;543.5;-0.0004;546.15;5.452.102.215.436.840
24-08-00;546.85;545.75;547.55;545.6;0.0016;545.95;5.479.972.951.712.560
25-08-00;546.45;546.6;548.85;546.0;-0.0007000000000000001;546.85;5.461.923.412.623.850
28-08-00;545.15;546.0;546.6;544.8;-0.0024;546.45;5.479.393.645.517.450
29-08-00;558.45;558.1;559.95;556.9;0.024399999999999998;545.15;543.124.717.007.573
30-08-00;561.6;558.5;565.25;558.5;0.005600000000000001;558.45;5.563.982.331.698.600
31-08-00;562.05;561.5;564.05;560.7;0.0008;561.6;5.627.319.117.233.670
01-09-00;564.25;561.9;564.5;560.7;0.0039000000000000003;562.05;562.883.401.604.581
04-09-00;564.25;564.1;564.25;564.1;0.0;564.25;5.628.588.373.408.430
05-09-00;568.55;565.5;569.25;565.5;0.0076;564.25;5.720.366.282.779.270
06-09-00;569.15;568.4;571.85;567.2;0.0011;568.55;5.696.829.637.272.540
07-09-00;569.15;569.0;572.15;568.1;0.0;569.15;5.707.023.955.259.230
08-09-00;568.15;569.0;569.15;566.2;-0.0018;569.15;5.706.961.588.412.050
11-09-00;566.05;568.0;568.15;565.5;-0.0037;568.15;5.670.843.671.891.060
12-09-00;565.65;565.9;566.65;564.4;-0.0007000000000000001;566.05;5.684.484.253.843.610
13-09-00;563.45;565.5;566.6;563.3;-0.0039000000000000003;565.65;5.657.683.386.147.880
14-09-00;560.25;563.3;563.45;559.25;-0.005699999999999999;563.45;5.631.705.787.854.520
15-09-00;563.75;563.1;563.75;560.1;0.0062;560.25;5.589.999.010.901.920
18-09-00;563.75;563.5;563.75;563.5;0.0;563.75;5.635.438.731.416.680
20-09-00;569.55;567.3;570.75;566.8;0.0103;563.75;5.647.735.382.006.360
21-09-00;567.75;569.4;570.35;567.3;-0.0032;569.55;5.709.355.747.594.300
22-09-00;565.45;567.6;570.55;564.8;-0.0040999999999999995;567.75;5.673.930.630.859.460
25-09-00;563.05;565.3;565.45;560.6;-0.0042;565.45;5.653.190.859.818.840
26-09-00;566.85;563.45;568.65;562.6;0.0067;563.05;5.606.555.648.114.360
27-09-00;566.85;566.7;569.55;566.2;0.0;566.85;5.727.346.826.436.890
28-09-00;563.35;566.6;567.95;563.0;-0.0062;566.85;5.662.771.614.979.380
29-09-00;563.75;563.2;564.15;562.2;0.0007000000000000001;563.35;5.611.719.948.875.860
02-10-00;562.25;563.3;564.55;560.5;-0.0027;563.75;5.639.261.750.614.510
03-10-00;560.95;562.0;562.15;559.1;-0.0023;562.25;5.641.681.142.237.900
04-10-00;560.15;560.9;562.75;558.6;-0.0014000000000000002;560.95;5.629.436.235.952.650
05-10-00;558.75;560.0;560.15;557.35;-0.0025;560.15;5.564.529.317.384.470
06-10-00;562.05;558.0;562.45;557.4;0.0059;558.75;5.566.121.260.332.300
09-10-00;562.15;561.8;562.15;561.8;0.0002;562.05;5.609.793.958.770.000
10-10-00;564.85;561.7;565.25;561.4;0.0048;562.15;5.623.415.253.565.290
11-10-00;564.45;566.2;566.65;563.4;-0.0007000000000000001;564.85;5.657.854.918.298.010
12-10-00;566.95;563.5;568.85;563.5;0.0044;564.45;5.621.977.274.814.600
13-10-00;568.45;568.1;569.65;567.2;0.0026;566.95;5.662.607.462.751.410
16-10-00;567.55;567.0;567.95;565.6;-0.0016;568.45;5.675.809.598.909.080
17-10-00;569.15;566.0;569.45;565.6;0.0028000000000000004;567.55;5.681.400.601.988.130
18-10-00;570.65;572.3;573.55;569.75;0.0026;569.15;5.703.220.530.229.920
19-10-00;570.15;569.5;570.5;567.8;-0.0009;570.65;5.699.729.933.768.490
20-10-00;570.75;570.6;573.0;569.9;0.0011;570.15;571.447.033.910.012
23-10-00;573.25;572.1;573.25;571.6;0.0044;570.75;5.695.294.733.854.300
24-10-00;573.15;574.2;574.55;572.6;-0.0002;573.25;5.749.106.134.464.890
25-10-00;576.45;575.8;577.35;575.2;0.0058;573.15;5.746.332.250.214.840
26-10-00;578.75;577.0;578.75;576.15;0.004;576.45;5.754.203.781.572.380
27-10-00;574.15;578.6;578.75;573.9;-0.0079;578.75;5.794.748.225.506.580
30-10-00;570.35;572.0;573.15;570.0;-0.0066;574.15;575.076.822.565.313
31-10-00;570.35;569.4;570.85;568.3;0.0;570.35;5.713.026.236.814.720
01-11-00;570.35;570.2;570.35;570.2;0.0;570.35;5.714.465.492.752.140
02-11-00;571.85;569.0;572.95;569.0;0.0026;570.35;5.706.456.342.070.990
03-11-00;569.65;572.5;575.25;569.3;-0.0038;571.85;5.712.892.328.960.130
06-11-00;574.25;570.7;574.3;570.7;0.008100000000000001;569.65;5.683.493.729.268.920
07-11-00;576.05;575.7;577.95;575.4;0.0031;574.25;5.748.358.154.660.170
08-11-00;575.25;575.9;576.05;573.5;-0.0014000000000000002;576.05;5.786.913.427.742.900
09-11-00;576.35;578.4;578.55;575.8;0.0019;575.25;5.775.336.560.995.970
10-11-00;575.55;575.9;576.15;574.3;-0.0014000000000000002;576.35;5.724.995.271.613.760
13-11-00;573.15;574.9;575.7;572.9;-0.0042;575.55;5.760.613.394.008.810
14-11-00;572.75;572.7;573.05;571.3;-0.0007000000000000001;573.15;5.731.998.595.078.090
15-11-00;572.25;573.1;573.85;571.8;-0.0009;572.75;5.739.030.981.679.500
16-11-00;571.25;571.2;571.7;570.7;-0.0017000000000000001;572.25;5.732.473.072.070.590
17-11-00;574.85;571.1;575.25;571.0;0.0063;571.25;5.695.984.136.751.140
20-11-00;574.95;574.0;575.05;573.5;0.0002;574.85;5.785.966.788.356.480
21-11-00;574.05;573.0;574.25;572.7;-0.0016;574.95;5.756.184.082.998.750
22-11-00;575.15;575.4;575.55;574.0;0.0019;574.05;5.752.268.028.699.120
23-11-00;575.4;575.2;576.15;574.9;0.0004;575.15;5.764.811.371.699.090
24-11-00;576.65;575.9;576.75;575.3;0.0022;575.4;5.729.802.965.380.970
27-11-00;577.45;576.5;577.55;575.6;0.0014000000000000002;576.65;5.716.267.706.690.960
28-11-00;580.45;578.5;580.8;577.65;0.0052;577.45;5.772.550.816.546.460
29-11-00;579.85;580.5;581.05;579.5;-0.001;580.45;5.808.192.305.676.200
30-11-00;578.15;579.1;579.75;577.8;-0.0029;579.85;5.791.964.996.284.210
01-12-00;577.25;578.6;578.75;576.8;-0.0016;578.15;5.803.601.479.777.550
04-12-00;576.5;577.0;577.15;575.7;-0.0013;577.25;5.767.460.549.234.140
05-12-00;574.65;575.2;575.75;574.4;-0.0032;576.5;5.776.407.090.182.190
06-12-00;575.25;572.9;575.55;572.2;0.001;574.65;5.740.947.340.586.840
07-12-00;577.15;575.6;578.1;575.6;0.0033;575.25;5.760.380.613.891.410
08-12-00;577.15;577.0;577.15;577.0;0.0;577.15;5.781.418.504.102.830
11-12-00;577.35;575.5;577.65;575.5;0.0003;577.15;5.781.237.265.397.410
12-12-00;576.55;576.4;576.75;575.1;-0.0014000000000000002;577.35;5.787.106.581.766.500
13-12-00;575.45;574.7;576.05;574.0;-0.0019;576.55;5.763.851.899.127.070
14-12-00;574.85;575.0;575.55;574.3;-0.001;575.45;5.748.177.615.059.520
15-12-00;573.85;572.9;573.85;572.9;-0.0017000000000000001;574.85;575.482.799.767.373
18-12-00;572.05;573.0;573.25;571.8;-0.0031;573.85;5.730.269.089.349.220
19-12-00;571.15;570.5;572.55;569.85;-0.0016;572.05;5.721.185.464.040.870
20-12-00;572.05;571.5;572.3;571.2;0.0016;571.15;5.709.501.138.922.860
21-12-00;573.05;572.8;573.75;572.2;0.0017000000000000001;572.05;5.726.559.799.310.260
22-12-00;573.15;573.1;573.55;572.2;0.0002;573.05;5.727.202.219.425.250
25-12-00;573.15;573.0;573.15;573.0;0.0;573.15;5.729.204.511.490.300
26-12-00;574.15;572.6;574.25;572.35;0.0017000000000000001;573.15;5.722.798.181.706.920
27-12-00;573.65;574.3;575.15;573.1;-0.0009;574.15;5.737.432.763.178.460
28-12-00;572.35;572.0;573.35;571.8;-0.0023;573.65;5.732.720.063.028.320
29-12-00;573.75;572.4;573.85;572.35;0.0024;572.35;5.714.261.074.242.480
02-01-01;575.3;573.15;575.55;573.0;0.0027;573.75;5.726.103.264.597.270
03-01-01;573.55;576.3;576.95;573.0;-0.003;575.3;5.747.203.672.166.840
04-01-01;571.25;570.2;572.5;570.0;-0.004;573.55;5.730.201.016.379.380
05-01-01;573.6;571.15;573.61;571.1;0.0040999999999999995;571.25;5.706.095.402.093.830
08-01-01;575.0;573.55;575.32;573.1;0.0024;573.6;5.752.387.896.732.640
09-01-01;574.5;574.66;575.49;573.9;-0.0009;575.0;5.738.370.510.311.080
10-01-01;573.95;574.21;575.28;573.5;-0.001;574.5;5.751.173.103.556.980
11-01-01;572.95;573.86;574.01;572.1;-0.0017000000000000001;573.95;5.732.843.243.365.160
12-01-01;573.33;572.8;573.37;571.4;0.0007000000000000001;572.95;5.734.557.923.165.460
15-01-01;573.05;573.7;574.05;572.8;-0.0005;573.33;573.443.761.467.045
16-01-01;572.7;572.95;573.38;572.3;-0.0006;573.05;5.728.185.473.135.030
17-01-01;572.05;572.2;572.85;571.5;-0.0011;572.7;5.721.707.310.576.400
18-01-01;571.95;571.95;572.45;571.0;-0.0002;572.05;5.711.156.083.651.820
19-01-01;570.35;571.8;572.75;570.0;-0.0028000000000000004;571.95;5.729.359.081.258.260
22-01-01;567.25;570.25;570.5;566.7;-0.0054;570.35;5.691.044.905.792.790
23-01-01;566.65;567.2;567.65;565.8;-0.0011;567.25;566.498.388.337.538
24-01-01;567.46;566.48;568.56;566.48;0.0014000000000000002;566.65;5.662.511.063.884.440
25-01-01;566.76;568.1;568.68;566.3;-0.0012;567.46;5.679.727.373.262.280
26-01-01;566.55;566.5;567.06;565.4;-0.0004;566.76;5.659.401.421.716.750
29-01-01;564.95;565.8;566.15;564.6;-0.0028000000000000004;566.55;5.668.683.430.358.180
30-01-01;561.95;564.3;565.05;561.7;-0.0053;564.95;5.638.475.307.169.770
31-01-01;561.35;561.2;562.65;560.6;-0.0011;561.95;5.615.138.944.962.970
01-02-01;562.55;561.1;563.15;561.1;0.0021;561.35;5.606.187.178.246.110
02-02-01;563.85;562.4;564.45;562.4;0.0023;562.55;5.631.890.098.905.400
05-02-01;564.55;563.5;565.05;563.5;0.0012;563.85;5.620.702.723.380.810
06-02-01;562.15;564.2;564.5;561.6;-0.0043;564.55;5.642.594.095.691.280
07-02-01;562.35;560.35;562.75;560.2;0.0004;562.15;560.784.452.275.969
08-02-01;559.95;562.25;562.4;559.5;-0.0043;562.35;5.640.090.313.016.650
09-02-01;558.95;558.5;559.85;558.5;-0.0018;559.95;5.600.241.003.400.760
12-02-01;557.05;558.9;560.05;556.8;-0.0034000000000000002;558.95;5.590.616.583.511.350
13-02-01;557.05;556.95;557.95;555.9;0.0;557.05;5.549.238.806.591.670
14-02-01;559.65;556.9;559.95;556.8;0.004699999999999999;557.05;5.575.041.331.866.730
15-02-01;562.75;559.5;562.85;559.5;0.0055000000000000005;559.65;5.597.926.445.145.080
16-02-01;564.05;562.65;564.15;562.3;0.0023;562.75;564.217.381.130.583
19-02-01;563.16;563.9;564.06;562.5;-0.0016;564.05;5.634.874.961.131.460
20-02-01;562.38;563.0;563.27;561.3;-0.0014000000000000002;563.16;5.613.158.545.350.450
21-02-01;566.75;562.25;566.75;562.25;0.0078000000000000005;562.38;5.627.096.028.805.330
22-02-01;569.33;566.55;569.88;566.55;0.0046;566.75;5.687.165.955.829.910
23-02-01;571.45;568.85;573.65;568.85;0.0037;569.33;5.705.081.397.697.540
26-02-01;567.42;571.35;571.58;567.15;-0.0070999999999999995;571.45;571.429.185.784.298
27-02-01;568.67;567.15;568.88;565.6;0.0022;567.42;5.648.393.903.402.880
28-02-01;574.22;569.1;574.42;569.0;0.0098;568.67;5.729.613.912.226.600
01-03-01;572.55;574.14;575.9;571.8;-0.0029;574.22;578.055.147.761.482
02-03-01;579.08;572.45;579.42;572.4;0.011399999999999999;572.55;5.727.032.508.289.550
05-03-01;587.95;579.25;590.75;579.2;0.015300000000000001;579.08;5.760.943.881.914.810
06-03-01;587.45;587.8;589.05;586.5;-0.0009;587.95;591.036.474.512.825
07-03-01;587.35;587.35;590.25;586.1;-0.0002;587.45;5.901.557.583.221.810
08-03-01;589.85;587.2;590.85;585.8;0.0043;587.35;5.881.765.213.476.200
09-03-01;593.05;589.7;596.25;589.7;0.0054;589.85;5.926.417.624.066.570
12-03-01;592.75;592.9;595.75;592.6;-0.0005;593.05;5.918.228.779.347.070
13-03-01;587.25;592.75;593.45;586.8;-0.009300000000000001;592.75;5.926.950.614.315.080
14-03-01;586.65;587.1;590.75;585.6;-0.001;587.25;5.876.412.664.573.490
15-03-01;588.25;586.5;588.75;583.7;0.0027;586.65;5.875.497.485.474.800
16-03-01;589.55;588.1;592.45;587.9;0.0022;588.25;590.933.892.139.953
19-03-01;588.35;589.4;591.1;587.8;-0.002;589.55;5.892.868.036.820.230
20-03-01;585.25;588.2;588.45;584.0;-0.0053;588.35;5.872.031.135.999.260
21-03-01;587.35;585.1;587.45;585.1;0.0036;585.25;5.868.587.110.165.580
22-03-01;591.95;587.2;592.55;587.2;0.0078000000000000005;587.35;5.895.849.410.771.750
23-03-01;595.25;591.8;596.95;591.8;0.005600000000000001;591.95;5.959.039.268.321.060
26-03-01;590.45;595.1;595.25;588.3;-0.008100000000000001;595.25;5.946.729.059.292.030
27-03-01;590.95;590.3;592.05;589.2;0.0008;590.45;5.860.551.680.382.310
28-03-01;591.35;590.8;592.5;590.4;0.0007000000000000001;590.95;5.974.735.824.462.890
29-03-01;593.05;591.2;593.45;591.2;0.0029;591.35;5.893.281.547.823.880
30-03-01;595.55;592.9;596.35;592.9;0.0042;593.05;5.991.002.089.830.920
02-04-01;596.95;595.4;597.15;594.35;0.0024;595.55;5.920.610.891.859.880
03-04-01;597.65;596.8;599.35;596.8;0.0012;596.95;5.967.991.346.996.430
04-04-01;597.45;597.5;597.65;596.6;-0.0003;597.65;5.981.971.484.791.960
05-04-01;595.45;597.3;597.45;594.7;-0.0033;597.45;59.982.727.553.101
06-04-01;595.65;595.3;595.75;594.35;0.0003;595.45;5.978.413.005.852.920
09-04-01;596.25;595.5;596.25;594.9;0.001;595.65;5.954.471.659.783.940
10-04-01;594.55;596.1;596.3;594.3;-0.0029;596.25;5.959.038.009.128.750
11-04-01;596.65;594.4;596.95;593.8;0.0034999999999999996;594.55;593.944.412.593.512
12-04-01;597.75;598.2;599.35;597.6;0.0018;596.65;5.972.214.271.017.520
13-04-01;597.75;597.6;597.75;597.6;0.0;597.75;59.940.814.948.076
16-04-01;600.55;599.4;601.75;599.1;0.004699999999999999;597.75;5.975.814.693.469.180
17-04-01;600.15;600.4;601.6;600.0;-0.0007000000000000001;600.55;5.980.378.050.216.420
18-04-01;597.35;600.0;600.15;596.7;-0.004699999999999999;600.15;6.007.819.890.802.300
19-04-01;598.15;597.2;598.15;595.35;0.0013;597.35;5.986.231.064.723.190
20-04-01;601.2;598.0;602.85;598.0;0.0051;598.15;5.995.704.973.835.230
23-04-01;602.7;601.0;604.25;601.0;0.0025;601.2;6.016.225.727.992.850
24-04-01;602.7;602.5;603.75;601.15;0.0;602.7;6.018.117.833.193.790
25-04-01;606.15;602.6;606.85;602.5;0.005699999999999999;602.7;6.015.492.173.045.420
26-04-01;601.85;606.05;606.25;601.45;-0.0070999999999999995;606.15;607.250.214.286.546
27-04-01;600.65;601.6;602.05;598.5;-0.002;601.85;6.037.450.204.590.260
30-04-01;600.85;600.45;600.85;597.4;0.0003;600.65;603.418.225.658.419
01-05-01;600.85;600.7;600.85;600.7;0.0;600.85;5.993.167.613.817.140
02-05-01;602.35;600.7;603.55;600.7;0.0025;600.85;6.010.302.806.375.640
